"ID","Year","Park","Team","Name","Franchise_Name","Games","Wins","Losses","Attendance"
97,1882,"Lake Front Park I/Lake Front Park II","CHN","Chicago White Stockings","Chicago Cubs",84,55,29,NULL
98,1882,"Kennard Street Park","CL2","Cleveland Blues","Cleveland Blues",84,42,40,NULL
99,1882,"Bank Street Grounds","CN2","Cincinnati Red Stockings","Cincinnati Reds",80,55,25,NULL
100,1882,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",86,42,41,NULL
101,1882,"Eclipse Park I","LS2","Louisville Eclipse","Louisville Colonels",79,42,38,NULL
102,1882,"Oakdale Park","PH4","Philadelphia Athletics","Philadelphia Athletics",75,41,34,NULL
103,1882,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",84,52,32,NULL
104,1882,"Exposition Park I","PT1","Pittsburg Alleghenys","Pittsburgh Pirates",79,39,39,NULL
105,1882,"Sportsman's Park I","SL4","St. Louis Brown Stockings","St. Louis Cardinals",79,37,43,NULL
106,1882,"Troy Ball Club Grounds","TRN","Troy Trojans","Troy Trojans",85,35,48,NULL
107,1882,"Worcester Driving Park Grounds","WOR","Worcester Ruby Legs","Worcester Ruby Legs",84,18,66,NULL
108,1883,"Riverside Park","BFN","Buffalo Bisons","Buffalo Bisons",98,52,45,NULL
109,1883,"Oriole Park","BL2","Baltimore Orioles","Baltimore Orioles",96,28,68,NULL
110,1883,"South End Grounds I","BSN","Boston Beaneaters","Atlanta Braves",98,63,35,NULL
111,1883,"Lake Front Park II","CHN","Chicago White Stockings","Chicago Cubs",98,59,39,NULL
112,1883,"Kennard Street Park","CL2","Cleveland Blues","Cleveland Blues",100,55,42,NULL
113,1883,"Recreation Park I","CL5","Columbus Buckeyes","Columbus Buckeyes",97,32,65,NULL
114,1883,"Bank Street Grounds","CN2","Cincinnati Red Stockings","Cincinnati Reds",98,61,37,NULL
115,1883,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",101,40,58,NULL
116,1883,"Eclipse Park I","LS2","Louisville Eclipse","Louisville Colonels",98,52,45,NULL
117,1883,"Polo Grounds I","NY1","New York Gothams","San Francisco Giants",98,46,50,NULL
118,1883,"Polo Grounds I West Diamond","NY4","New York Metropolitans","New York Metropolitans",97,54,42,NULL
119,1883,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",98,66,32,NULL
120,1883,"Recreation Park","PHI","Philadelphia Quakers","Philadelphia Phillies",99,17,81,NULL
121,1883,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",98,58,40,NULL
122,1883,"Exposition Park I","PT1","Pittsburg Alleghenys","Pittsburgh Pirates",98,31,67,NULL
123,1883,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",98,65,33,NULL
124,1884,NULL,"ALT","Altoona Mountain City","Altoona Mountain City",25,6,19,NULL
125,1884,"Olympic Park I","BFN","Buffalo Bisons","Buffalo Bisons",114,64,47,NULL
126,1884,"Oriole Park","BL2","Baltimore Orioles","Baltimore Orioles",108,63,43,NULL
127,1884,NULL,"BLU","Baltimore Monumentals","Baltimore Monumentals",105,58,47,NULL
128,1884,"Washington Park I","BR3","Brooklyn Atlantics","Los Angeles Dodgers",109,40,64,NULL
129,1884,"South End Grounds I","BSN","Boston Beaneaters","Atlanta Braves",116,73,38,NULL
130,1884,NULL,"BSU","Boston Reds","Boston Reds",109,58,51,NULL
131,1884,"Lake Front Park II","CHN","Chicago White Stockings","Chicago Cubs",112,62,50,NULL
132,1884,NULL,"CHU","Chicago/Pittsburgh (Union League)","Chicago/Pittsburgh (Union League)",92,41,50,NULL
133,1884,"Kennard Street Park","CL2","Cleveland Blues","Cleveland Blues",113,35,77,NULL
134,1884,"Recreation Park I","CL5","Columbus Buckeyes","Columbus Buckeyes",110,69,39,NULL
135,1884,"League Park I in Cincinnati","CN2","Cincinnati Red Stockings","Cincinnati Reds",112,68,41,NULL
136,1884,NULL,"CNU","Cincinnati Outlaw Reds","Cincinnati Outlaw Reds",103,69,36,NULL
137,1884,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",114,28,84,NULL
138,1884,"Seventh Street Park","IN2","Indianapolis Hoosiers","Indianapolis Hoosiers",110,29,78,NULL
139,1884,NULL,"KCU","Kansas City Cowboys","Kansas City Cowboys",82,16,63,NULL
140,1884,"Eclipse Park I","LS2","Louisville Eclipse","Louisville Colonels",110,68,40,NULL
141,1884,NULL,"MLU","Milwaukee Brewers","Milwaukee Brewers",12,8,4,NULL
142,1884,"Polo Grounds I","NY1","New York Gothams","San Francisco Giants",116,62,50,NULL
143,1884,"Polo Grounds I West Diamond","NY4","New York Metropolitans","New York Metropolitans",112,75,32,NULL
144,1884,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",108,61,46,NULL
145,1884,"Recreation Park","PHI","Philadelphia Quakers","Philadelphia Phillies",113,39,73,NULL
146,1884,NULL,"PHU","Philadelphia Keystones","Philadelphia Keystones",67,21,46,NULL
147,1884,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",114,84,28,NULL
148,1884,"Recreation Park","PT1","Pittsburg Alleghenys","Pittsburgh Pirates",110,30,78,NULL
149,1884,"Allen Pasture","RIC","Richmond Virginians","Richmond Virginians",45,12,30,NULL
150,1884,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",110,67,40,NULL
151,1884,NULL,"SLU","St. Louis Maroons","St. Louis Maroons",113,94,19,NULL
152,1884,NULL,"SPU","St. Paul White Caps","St. Paul Apostles",9,2,6,NULL
153,1884,"League Park","TL1","Toledo Blue Stockings","Toledo Blue Stockings",109,46,58,NULL
154,1884,NULL,"WIL","Wilmington Quicksteps","Wilmington Quicksteps",17,2,16,NULL
155,1884,"Athletic Park","WS7","Washington Nationals","Washington Statesmen",63,12,51,NULL
156,1884,NULL,"WSU","Washington Nationals","Washington Nationals",112,47,65,NULL
157,1885,"Olympic Park I","BFN","Buffalo Bisons","Buffalo Bisons",112,38,74,NULL
158,1885,"Oriole Park","BL2","Baltimore Orioles","Baltimore Orioles",110,41,68,NULL
159,1885,"Washington Park I","BR3","Brooklyn Grays","Los Angeles Dodgers",112,53,59,NULL
160,1885,"South End Grounds I","BSN","Boston Beaneaters","Atlanta Braves",113,46,66,NULL
161,1885,"West Side Park I","CHN","Chicago White Stockings","Chicago Cubs",113,87,25,NULL
162,1885,"League Park I in Cincinnati","CN2","Cincinnati Red Stockings","Cincinnati Reds",112,63,49,NULL
163,1885,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",108,41,67,NULL
164,1885,"Eclipse Park I","LS2","Louisville Colonels","Louisville Colonels",112,53,59,NULL
165,1885,"Polo Grounds I","NY1","New York Giants","San Francisco Giants",112,85,27,NULL
166,1885,"Polo Grounds I West Diamond","NY4","New York Metropolitans","New York Metropolitans",108,44,64,NULL
167,1885,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",113,55,57,NULL
168,1885,"Recreation Park","PHI","Philadelphia Quakers","Philadelphia Phillies",111,56,54,NULL
169,1885,"Messer Street Grounds","PRO","Providence Grays","Providence Grays",110,53,57,NULL
170,1885,"Recreation Park","PT1","Pittsburg Alleghenys","Pittsburgh Pirates",111,56,55,NULL
171,1885,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",112,79,33,NULL
172,1885,"Sportsman's Park I","SL5","St. Louis Maroons","St. Louis Maroons",111,36,72,NULL
173,1886,"Oriole Park","BL2","Baltimore Orioles","Baltimore Orioles",139,48,83,NULL
174,1886,"Washington Park I","BR3","Brooklyn Grays","Los Angeles Dodgers",141,76,61,NULL
175,1886,"South End Grounds I","BSN","Boston Beaneaters","Atlanta Braves",118,56,61,NULL
176,1886,"West Side Park I","CHN","Chicago White Stockings","Chicago Cubs",126,90,34,NULL
177,1886,"League Park I in Cincinnati","CN2","Cincinnati Red Stockings","Cincinnati Reds",141,65,73,NULL
178,1886,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",126,87,36,NULL
179,1886,"Association Park","KCN","Kansas City Cowboys","Kansas City Cowboys",123,30,91,NULL
180,1886,"Eclipse Park I","LS2","Louisville Colonels","Louisville Colonels",138,66,70,NULL
181,1886,"Polo Grounds I","NY1","New York Giants","San Francisco Giants",124,75,44,NULL
182,1886,"St. George Cricket Grounds","NY4","New York Metropolitans","New York Metropolitans",137,53,82,NULL
183,1886,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",139,63,72,NULL
184,1886,"Recreation Park","PHI","Philadelphia Quakers","Philadelphia Phillies",119,71,43,NULL
185,1886,"Recreation Park","PT1","Pittsburg Alleghenys","Pittsburgh Pirates",140,80,57,NULL
186,1886,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",139,93,46,NULL
187,1886,"Sportsman's Park I","SL5","St. Louis Maroons","St. Louis Maroons",126,43,79,NULL
188,1886,"Swampdoodle Grounds","WS8","Washington Nationals","Washington Nationals",122,28,92,NULL
189,1887,"Oriole Park","BL2","Baltimore Orioles","Baltimore Orioles",141,77,58,NULL
190,1887,"Washington Park I","BR3","Brooklyn Grays","Los Angeles Dodgers",138,60,74,NULL
191,1887,"South End Grounds I","BSN","Boston Beaneaters","Atlanta Braves",127,61,60,NULL
192,1887,"West Side Park I","CHN","Chicago White Stockings","Chicago Cubs",127,71,50,NULL
193,1887,"National League Park II","CL3","Cleveland Blues","Cleveland Spiders",133,39,92,NULL
194,1887,"League Park I in Cincinnati","CN2","Cincinnati Red Stockings","Cincinnati Reds",135,81,54,NULL
195,1887,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",127,79,45,NULL
196,1887,"Athletic Park I","IN3","Indianapolis Hoosiers","Indianapolis Hoosiers",127,37,89,NULL
197,1887,"Eclipse Park I","LS2","Louisville Colonels","Louisville Colonels",137,76,60,NULL
198,1887,"Polo Grounds I","NY1","New York Giants","San Francisco Giants",129,68,55,NULL
199,1887,"St. George Cricket Grounds","NY4","New York Metropolitans","New York Metropolitans",138,44,89,NULL
200,1887,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",137,64,69,NULL
201,1887,"Philadelphia Baseball Grounds","PHI","Philadelphia Quakers","Philadelphia Phillies",128,75,48,NULL
202,1887,"Recreation Park","PIT","Pittsburg Alleghenys","Pittsburgh Pirates",125,55,69,NULL
203,1887,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",137,95,40,NULL
204,1887,"Swampdoodle Grounds","WS8","Washington Nationals","Washington Nationals",126,46,76,NULL
205,1888,"Oriole Park","BL2","Baltimore Orioles","Baltimore Orioles",137,57,80,NULL
206,1888,"Washington Park I","BR3","Brooklyn Bridegrooms","Los Angeles Dodgers",143,88,52,NULL
207,1888,"South End Grounds II","BSN","Boston Beaneaters","Atlanta Braves",137,70,64,NULL
208,1888,"West Side Park I","CHN","Chicago White Stockings","Chicago Cubs",135,77,58,NULL
209,1888,"National League Park II","CL3","Cleveland Blues","Cleveland Spiders",135,50,82,NULL
210,1888,"League Park I in Cincinnati","CN2","Cincinnati Red Stockings","Cincinnati Reds",137,80,54,NULL
211,1888,"Recreation Park","DTN","Detroit Wolverines","Detroit Wolverines",134,68,63,NULL
212,1888,"Athletic Park II","IN3","Indianapolis Hoosiers","Indianapolis Hoosiers",136,50,85,NULL
213,1888,"Association Park I","KC2","Kansas City Cowboys","Kansas City Cowboys",132,43,89,NULL
214,1888,"Eclipse Park I","LS2","Louisville Colonels","Louisville Colonels",139,48,87,NULL
215,1888,"Polo Grounds I","NY1","New York Giants","San Francisco Giants",137,84,47,NULL
216,1888,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",136,81,52,NULL
217,1888,"Philadelphia Baseball Grounds","PHI","Philadelphia Quakers","Philadelphia Phillies",131,69,61,NULL
218,1888,"Recreation Park","PIT","Pittsburg Alleghenys","Pittsburgh Pirates",138,66,68,NULL
219,1888,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",137,92,43,NULL
220,1888,"Swampdoodle Grounds","WS8","Washington Nationals","Washington Nationals",136,48,86,NULL
