"ID","Year","Park","Team","Name","Franchise_Name","Games","Wins","Losses","Attendance"
1721,1977,"Metropolitan Stadium","MIN","Minnesota Twins","Minnesota Twins",161,84,77,1162727
1722,1977,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",162,67,95,1114938
1723,1977,"Stade Olympique","MON","Montreal Expos","Washington Nationals",162,75,87,1433757
1724,1977,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",162,100,62,2103092
1725,1977,"Shea Stadium","NYN","New York Mets","New York Mets",162,64,98,1066825
1726,1977,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",161,63,98,495599
1727,1977,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",162,101,61,2700070
1728,1977,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",162,96,66,1237349
1729,1977,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",162,69,93,1376269
1730,1977,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,64,98,1338511
1731,1977,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,75,87,700056
1732,1977,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,83,79,1659287
1733,1977,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",162,94,68,1250722
1734,1977,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",161,54,107,1701052
1735,1978,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",162,69,93,904494
1736,1978,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",161,90,71,1051724
1737,1978,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",163,99,64,2320643
1738,1978,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,87,75,1755386
1739,1978,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",161,71,90,1491100
1740,1978,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",162,79,83,1525311
1741,1978,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",161,92,69,2532497
1742,1978,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",159,69,90,800584
1743,1978,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",162,86,76,1714893
1744,1978,"Astrodome","HOU","Houston Astros","Houston Astros",162,74,88,1126145
1745,1978,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,92,70,2255493
1746,1978,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",162,95,67,3347845
1747,1978,"Metropolitan Stadium","MIN","Minnesota Twins","Minnesota Twins",162,73,89,787878
1748,1978,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",162,93,69,1601406
1749,1978,"Stade Olympique","MON","Montreal Expos","Washington Nationals",162,76,86,1427007
1750,1978,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",163,100,63,2335871
1751,1978,"Shea Stadium","NYN","New York Mets","New York Mets",162,66,96,1007328
1752,1978,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,69,93,526999
1753,1978,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",162,90,72,2583389
1754,1978,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",161,88,73,964106
1755,1978,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",162,84,78,1670107
1756,1978,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",160,56,104,877440
1757,1978,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,89,73,1740477
1758,1978,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,69,93,1278215
1759,1978,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",162,87,75,1447963
1760,1978,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",161,59,102,1562585
1761,1979,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",160,66,94,769465
1762,1979,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",159,102,57,1681009
1763,1979,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",160,91,69,2353114
1764,1979,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,88,74,2523575
1765,1979,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",159,73,87,1280702
1766,1979,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",162,80,82,1648587
1767,1979,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",161,90,71,2356933
1768,1979,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",161,81,80,1011644
1769,1979,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",160,85,76,1630929
1770,1979,"Astrodome","HOU","Houston Astros","Houston Astros",162,89,73,1900312
1771,1979,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,85,77,2261845
1772,1979,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",162,79,83,2860954
1773,1979,"Metropolitan Stadium","MIN","Minnesota Twins","Minnesota Twins",162,82,80,1070521
1774,1979,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",161,95,66,1918343
1775,1979,"Stade Olympique","MON","Montreal Expos","Washington Nationals",160,95,65,2102173
1776,1979,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",160,89,71,2537765
1777,1979,"Shea Stadium","NYN","New York Mets","New York Mets",163,63,99,788905
1778,1979,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,54,108,306763
1779,1979,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",163,84,78,2775011
1780,1979,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",163,98,64,1435454
1781,1979,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",161,68,93,1456967
1782,1979,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,67,95,844447
1783,1979,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,71,91,1456402
1784,1979,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",163,86,76,1627256
1785,1979,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",162,83,79,1519671
1786,1979,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",162,53,109,1431651
1787,1980,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",161,81,80,1048411
1788,1980,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",162,100,62,1797438
1789,1980,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",160,83,77,1956092
1790,1980,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",160,65,95,2297327
1791,1980,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",162,70,90,1200365
1792,1980,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",162,64,98,1206776
1793,1980,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",163,89,73,2022450
1794,1980,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",160,79,81,1033827
1795,1980,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",163,84,78,1785293
1796,1980,"Astrodome","HOU","Houston Astros","Houston Astros",163,93,70,2278217
1797,1980,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,97,65,2288714
1798,1980,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",163,92,71,3249287
1799,1980,"Metropolitan Stadium","MIN","Minnesota Twins","Minnesota Twins",161,77,84,769206
1800,1980,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",162,86,76,1857408
1801,1980,"Stade Olympique","MON","Montreal Expos","Washington Nationals",162,90,72,2208175
1802,1980,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",162,103,59,2627417
1803,1980,"Shea Stadium","NYN","New York Mets","New York Mets",162,67,95,1192073
1804,1980,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,83,79,842259
1805,1980,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",162,91,71,2651650
1806,1980,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",162,83,79,1646757
1807,1980,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",163,73,89,1139026
1808,1980,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",163,59,103,836204
1809,1980,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",161,75,86,1096115
1810,1980,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,74,88,1385147
1811,1980,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",163,76,85,1198175
1812,1980,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",162,67,95,1400327
1813,1981,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",107,50,56,535418
1814,1981,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",105,59,46,1024247
1815,1981,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",108,59,49,1060379
1816,1981,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",110,51,59,1441545
1817,1981,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",106,54,52,946651
1818,1981,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",106,38,65,565637
1819,1981,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",108,66,42,1093730
1820,1981,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",103,52,51,661395
1821,1981,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",109,60,49,1149144
1822,1981,"Astrodome","HOU","Houston Astros","Houston Astros",110,61,49,1321282
1823,1981,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",103,50,53,1279403
1824,1981,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",110,63,47,2381292
1825,1981,"Metropolitan Stadium","MIN","Minnesota Twins","Minnesota Twins",110,41,68,469090
1826,1981,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",109,62,47,874292
1827,1981,"Stade Olympique","MON","Montreal Expos","Washington Nationals",108,60,48,1534564
1828,1981,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",107,59,48,1614353
1829,1981,"Shea Stadium","NYN","New York Mets","New York Mets",105,41,62,704244
1830,1981,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",109,64,45,1304052
1831,1981,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",107,59,48,1638752
1832,1981,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",103,46,56,541789
1833,1981,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",110,41,69,519161
1834,1981,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",110,44,65,636276
1835,1981,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",111,56,55,632274
1836,1981,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",103,59,43,1010247
1837,1981,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",105,57,48,850076
1838,1981,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",106,37,69,755083
1839,1982,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",162,89,73,1801985
1840,1982,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",163,94,68,1613031
1841,1982,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",162,89,73,1950124
1842,1982,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,93,69,2807360
1843,1982,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",162,87,75,1567787
1844,1982,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",162,73,89,1249278
1845,1982,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",162,61,101,1326528
1846,1982,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",162,78,84,1044021
1847,1982,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",162,83,79,1636058
1848,1982,"Astrodome","HOU","Houston Astros","Houston Astros",162,77,85,1558555
1849,1982,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,90,72,2284464
1850,1982,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",162,88,74,3608881
1851,1982,"Hubert H Humphrey Metrodome","MIN","Minnesota Twins","Minnesota Twins",162,60,102,921186
1852,1982,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",163,95,67,1978896
1853,1982,"Stade Olympique","MON","Montreal Expos","Washington Nationals",162,86,76,2318292
1854,1982,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",162,79,83,2041219
1855,1982,"Shea Stadium","NYN","New York Mets","New York Mets",162,65,97,1323036
1856,1982,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,68,94,1735489
1857,1982,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",162,89,73,2376394
1858,1982,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",162,84,78,1024106
1859,1982,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",162,81,81,1607516
1860,1982,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,76,86,1070404
1861,1982,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,87,75,1200948
1862,1982,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,92,70,2111906
1863,1982,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",162,64,98,1154432
1864,1982,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",162,78,84,1275978
1865,1983,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",162,88,74,2119935
1866,1983,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",162,98,64,2042071
1867,1983,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",162,78,84,1782285
1868,1983,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,70,92,2555016
1869,1983,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",162,99,63,2132821
1870,1983,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",162,71,91,1479717
1871,1983,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",162,74,88,1190419
1872,1983,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",162,70,92,768941
1873,1983,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",162,92,70,1829636
1874,1983,"Astrodome","HOU","Houston Astros","Houston Astros",162,85,77,1351962
1875,1983,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",163,79,83,1963875
1876,1983,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",163,91,71,3510313
1877,1983,"Hubert H Humphrey Metrodome","MIN","Minnesota Twins","Minnesota Twins",162,70,92,858939
1878,1983,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",162,87,75,2397131
1879,1983,"Stade Olympique","MON","Montreal Expos","Washington Nationals",163,82,80,2320651
1880,1983,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",162,91,71,2257976
1881,1983,"Shea Stadium","NYN","New York Mets","New York Mets",162,68,94,1112774
1882,1983,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,74,88,1294941
1883,1983,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",163,90,72,2128339
1884,1983,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",162,84,78,1225916
1885,1983,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",163,81,81,1539815
1886,1983,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,60,102,813537
1887,1983,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,79,83,1251530
1888,1983,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,79,83,2317914
1889,1983,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",163,77,85,1363469
1890,1983,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",162,89,73,1930415
1891,1984,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",162,80,82,1724892
1892,1984,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",162,85,77,2045784
1893,1984,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",162,86,76,1661618
1894,1984,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,81,81,2402997
1895,1984,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",162,74,88,2136988
1896,1984,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",161,96,65,2107655
1897,1984,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",162,70,92,1275887
1898,1984,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",163,75,87,734079
1899,1984,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",162,104,58,2704794
1900,1984,"Astrodome","HOU","Houston Astros","Houston Astros",162,80,82,1229862
1901,1984,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,84,78,1810018
1902,1984,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",162,79,83,3134824
1903,1984,"Hubert H Humphrey Metrodome","MIN","Minnesota Twins","Minnesota Twins",162,81,81,1598692
1904,1984,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",161,67,94,1608509
1905,1984,"Stade Olympique","MON","Montreal Expos","Washington Nationals",161,78,83,1606531
1906,1984,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",162,87,75,1821815
1907,1984,"Shea Stadium","NYN","New York Mets","New York Mets",162,90,72,1842695
1908,1984,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,77,85,1353281
1909,1984,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",162,81,81,2062693
1910,1984,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",162,75,87,773500
1911,1984,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",162,92,70,1983904
1912,1984,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,74,88,870372
1913,1984,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,66,96,1001545
1914,1984,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,84,78,2037448
1915,1984,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",161,69,92,1102471
1916,1984,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",163,89,73,2110009
1917,1985,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",162,66,96,1350137
1918,1985,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",161,83,78,2132387
1919,1985,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",163,81,81,1786633
1920,1985,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,90,72,2567427
1921,1985,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",163,85,77,1669888
1922,1985,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",162,77,84,2161534
1923,1985,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",162,89,72,1834619
1924,1985,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",162,60,102,655181
1925,1985,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",161,84,77,2286609
1926,1985,"Astrodome","HOU","Houston Astros","Houston Astros",162,83,79,1184314
1927,1985,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,91,71,2162717
1928,1985,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",162,95,67,3264593
1929,1985,"Hubert H Humphrey Metrodome","MIN","Minnesota Twins","Minnesota Twins",162,77,85,1651814
1930,1985,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",161,71,90,1360265
1931,1985,"Stade Olympique","MON","Montreal Expos","Washington Nationals",161,84,77,1502494
1932,1985,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",161,97,64,2214587
1933,1985,"Shea Stadium","NYN","New York Mets","New York Mets",162,98,64,2761601
1934,1985,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,77,85,1334599
1935,1985,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",162,75,87,1830350
1936,1985,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",161,57,104,735900
1937,1985,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",162,83,79,2210352
1938,1985,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,74,88,1128696
1939,1985,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,62,100,818697
1940,1985,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,101,61,2637563
1941,1985,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",161,62,99,1112497
1942,1985,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",161,99,62,2468925
1943,1986,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",161,72,89,1387181
1944,1986,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",162,73,89,1973176
1945,1986,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",161,95,66,2147641
1946,1986,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,92,70,2655872
1947,1986,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",162,72,90,1424313
1948,1986,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",160,70,90,1859102
1949,1986,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",162,86,76,1692432
1950,1986,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",163,84,78,1471805
1951,1986,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",162,87,75,1899437
1952,1986,"Astrodome","HOU","Houston Astros","Houston Astros",162,96,66,1734276
1953,1986,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,76,86,2320794
1954,1986,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",162,73,89,3023208
1955,1986,"Hubert H Humphrey Metrodome","MIN","Minnesota Twins","Minnesota Twins",162,71,91,1255453
1956,1986,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",161,77,84,1265041
1957,1986,"Stade Olympique","MON","Montreal Expos","Washington Nationals",161,78,83,1128981
1958,1986,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",162,90,72,2268030
1959,1986,"Shea Stadium","NYN","New York Mets","New York Mets",162,108,54,2767601
1960,1986,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,76,86,1314646
1961,1986,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",161,86,75,1933335
1962,1986,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",162,64,98,1000917
1963,1986,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",162,74,88,1805716
1964,1986,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,67,95,1029045
1965,1986,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,83,79,1528748
1966,1986,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",161,79,82,2471974
1967,1986,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",162,87,75,1692002
1968,1986,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",163,86,76,2455477
1969,1987,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",161,69,92,1217402
1970,1987,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",162,67,95,1835692
1971,1987,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",162,78,84,2231551
1972,1987,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,75,87,2696299
1973,1987,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",162,77,85,1208060
1974,1987,"Wrigley Field","CHN","Chicago Cubs","Chicago Cubs",161,76,85,2035130
1975,1987,"Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds",162,84,78,2185205
1976,1987,"Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians",162,61,101,1077898
1977,1987,"Tiger Stadium","DET","Detroit Tigers","Detroit Tigers",162,98,64,2061830
1978,1987,"Astrodome","HOU","Houston Astros","Houston Astros",162,76,86,1909902
1979,1987,"Royals Stadium","KCA","Kansas City Royals","Kansas City Royals",162,83,79,2392471
1980,1987,"Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers",162,73,89,2797409
1981,1987,"Hubert H Humphrey Metrodome","MIN","Minnesota Twins","Minnesota Twins",162,85,77,2081976
1982,1987,"County Stadium","ML4","Milwaukee Brewers","Milwaukee Brewers",162,91,71,1909244
1983,1987,"Stade Olympique","MON","Montreal Expos","Washington Nationals",162,91,71,1850324
1984,1987,"Yankee Stadium II","NYA","New York Yankees","New York Yankees",162,89,73,2427672
1985,1987,"Shea Stadium","NYN","New York Mets","New York Mets",162,92,70,3034129
1986,1987,"Oakland Coliseum","OAK","Oakland Athletics","Oakland Athletics",162,81,81,1678921
1987,1987,"Veterans Stadium","PHI","Philadelphia Phillies","Philadelphia Phillies",162,80,82,2100110
1988,1987,"Three Rivers Stadium","PIT","Pittsburgh Pirates","Pittsburgh Pirates",162,80,82,1161193
1989,1987,"Jack Murphy Stadium","SDN","San Diego Padres","San Diego Padres",162,65,97,1454061
1990,1987,"Kingdome","SEA","Seattle Mariners","Seattle Mariners",162,78,84,1134255
1991,1987,"Candlestick Park","SFN","San Francisco Giants","San Francisco Giants",162,90,72,1917168
1992,1987,"Busch Stadium II","SLN","St. Louis Cardinals","St. Louis Cardinals",162,95,67,3072122
1993,1987,"Arlington Stadium","TEX","Texas Rangers","Texas Rangers",162,75,87,1763053
1994,1987,"Exhibition Stadium","TOR","Toronto Blue Jays","Toronto Blue Jays",162,96,66,2778429
1995,1988,"Atlanta-Fulton County Stadium","ATL","Atlanta Braves","Atlanta Braves",160,54,106,848089
1996,1988,"Memorial Stadium","BAL","Baltimore Orioles","Baltimore Orioles",161,54,107,1660738
1997,1988,"Fenway Park II","BOS","Boston Red Sox","Boston Red Sox",162,89,73,2464851
1998,1988,"Anaheim Stadium","CAL","California Angels","Los Angeles Angels of Anaheim",162,75,87,2340925
1999,1988,"Comiskey Park","CHA","Chicago White Sox","Chicago White Sox",161,71,90,1115749
"2000","1988","Wrigley Field","CHN","Chicago Cubs","Chicago Cubs","163","77","85","2089034"
"2001","1988","Riverfront Stadium","CIN","Cincinnati Reds","Cincinnati Reds","161","87","74","2072528"
"2002","1988","Cleveland Stadium","CLE","Cleveland Indians","Cleveland Indians","162","78","84","1411610"
"2003","1988","Tiger Stadium","DET","Detroit Tigers","Detroit Tigers","162","88","74","2081162"
"2004","1988","Astrodome","HOU","Houston Astros","Houston Astros","162","82","80","1933505"
"2005","1988","Royals Stadium","KCA","Kansas City Royals","Kansas City Royals","161","84","77","2350181"
"2006","1988","Dodger Stadium","LAN","Los Angeles Dodgers","Los Angeles Dodgers","162","94","67","2980262"
